,BHP AT Equity,CSL AT Equity,RIO AT Equity,CBA AT Equity,WOW AT Equity,WES AT Equity,TLS AT Equity,AMC AT Equity,BXB AT Equity,FPH AT Equity
Weights,0.0,0.003,0.098,0.03,0.14,0.064,0.167,0.23,0.08,0.187
Statistics,0.044,0.139,0.321,,,,,,,
