,BHP AT Equity,CSL AT Equity,RIO AT Equity,CBA AT Equity,WOW AT Equity,WES AT Equity,TLS AT Equity,AMC AT Equity,BXB AT Equity,FPH AT Equity
Weights,0.0,0.364,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.553
Statistics,0.255,0.189,1.349,,,,,,,
