,BHP AT Equity,CSL AT Equity,RIO AT Equity,CBA AT Equity,WOW AT Equity,WES AT Equity,TLS AT Equity,AMC AT Equity,BXB AT Equity,FPH AT Equity
Weights,0.0,0.376,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.597
Statistics,0.266,0.197,1.354,,,,,,,
